data_id,fact,generated_rule,golden_rule,yesNoRatio
0,"Alaskan marmots possess a short neck, broad and short head, small ears, short powerful legs and feet, bushy and densely furred tail, and a thick body covered in coarse hair.
As an adaption to the Arctic environment and permanently frozen ground, Alaska marmots breed prior to emerging from the winter den.
Occasionally, Alaskan huskies are referred to as Indian Dogs, because the best ones supposedly come from Native American villages in the Alaskan and Canadian interiors. They typically weigh between 18 and 34 kg (40 and 75 lb) and may have dense or sleek fur.
The Alaskan Gold Rush brought renewed interest in the use of sled dogs as transportation. Most gold camps were accessible only by dogsled in the winter. Everything that moved during the frozen season moved by dog team.
Polar bears are superbly insulated by up to 10 cm (4 in) of adipose tissue, their hide and their fur. Polar bear fur consists of a layer of dense underfur and an outer layer of guard hairs, which appear white to tan but are actually transparent.
 Although it is the sister species of the brown bear, it has evolved to occupy a narrower ecological niche, with many body characteristics adapted for cold temperatures, for moving across snow, ice and open water, and for hunting seals, which make up most of its diet.","if a bear's hair is white, then it might live in cold places.",yes,49.562662839889526
1,"The wolverine is the largest land-dwelling species of the family Mustelidae.
Like many other mustelids, it has potent anal scent glands used for marking territory and sexual signaling. The pungent odor has given rise to the nicknames ""skunk bear"" and ""nasty cat.""

Several potential predators—jaguars and smaller cats like the margay—would love to make a meal out of a tamandua if it weren't so stinky! The bad smell lets other wildlife know where the tamandua is and usually sends them in the opposite direction.

The Striped Polecat is legendary for its ability to emit a foul smelling substance from its anal glands for protection. So powerful is this smell that personal observations include seeing an individual standing its ground against three lions which eventually moved away after much lip curling.","if a creature smells like a skunk, it might be a wolverine.",yes,49.15228188037872
2,"In most areas, groundhogs hibernate from October to March or April, but in more temperate areas, they may hibernate as little as three months. Groundhogs hibernate longer in northern latitudes than southern latitudes.

Some researchers and members of the public use the term brumate to describe winter dormancy of reptiles, but the more general term hibernation is believed adequate to refer to any winter dormancy.

Bears of northern regions, including the American black bear and the grizzly bear, hibernate in the winter.","if a mammal sleeps in the winter, then it probably hibernates.",yes,53.32022309303284
3,"Just like people, cats can show their love through understanding and concern for others. In some instances, they have been known to risk their lives for their owners, protecting them from dangers like poisonous snakes or other hazards. Cats can also detect when their owner is upset and will often console them or, in some cases, even lick away their tears! But perhaps some of the most incredible evidence that cats do get attached to their owners is in the cases where cats have traveled miles upon miles to places they’ve never been in order to find their person.


Pet dogs can increase our dopamine, serotonin, and oxytocin levels. These are the “feel good” chemicals our brains release that improve mood and affect happiness. 

Studies have shown that even small interactions with dogs cause the human brain to produce oxytocin, a hormone often referred to as the “cuddle chemical.” Oxytocin increases feelings of relaxation, trust, and empathy while reducing stress and anxiety.","if a person can bond with another person through understanding and concern, then they can develop the same feeling towards an animal.",no,43.05992126464844
4,"Pet owners will attest that simply being together with their pet greatly reduces stress, depression and anxiety. Studies have proven an increase in the stress-reducing hormones dopamine and oxytocin and a decrease in the levels of the stress-causing hormone call cortisol for pet owners. 

A pet can give you excellent support and unmatched companionship through their natural sense of empathy with no judgment in return.

Getting a pet will help kids learn vital life skills and lessons like empathy, responsibility, routine and structure. The relationships your children develop with their pets are truly special and extraordinary.","if a person get benefit from the friendship and company of pets, then he/she can get better and healthier.",yes,47.187843918800354
5,"The mollusc shell is typically a calcareous exoskeleton which encloses, supports and protects the soft parts of an animal.

Crabs are generally covered with a thick exoskeleton.

Lobsters are invertebrates with a hard protective exoskeleton.",there exist invertebrates with a protective shell.,yes,47.96646535396576
6,"Chameleons can stretch their iridophores to change the wavelength—and therefore the color—of the light they reflect. 

In the blink of an eye, squid can change from sandy brown to vibrant red or ripple with bright metallic rainbows.

Even more chimerical than the chameleon, they can change extremely quickly, and they can alter not only the color of their skin, but also its texture and reflectance.","there exist color changing animals, which can change the wavelength and reflectance of the light they reflect.",yes,43.311646580696106
7,"Sharks are a group of elasmobranch fish characterized by a cartilaginous skeleton, five to seven gill slits on the sides of the head, and pectoral fins that are not fused to the head.
Sharks are fishes. Like other fishes, sharks are cold-blooded, have fins, live in the water, and breathe with gills. 
In general, pelagic fishes also possess large pectoral fins that provide additional hydrodynamic lift and a large dorsal fin that acts to minimize body rolling during swimming.
The marine pelagic environment is the largest aquatic habitat on Earth.
A sunfish (or mola) is any fish in the Mola genus (family Molidae). Their population is considered stable, though they frequently are snagged in drift gill nets and can suffocate on sea trash, like plastic bags (which resemble jellyfish).

The sunfish is native to tropical and temperate waters around the world.","if a fish has fins, then it probably has a cartilaginous skeleton.",yes,51.62400007247925
8,"Turtles are an order of reptiles known as Testudines, characterized by a shell developed mainly from their ribs.
Eggs of turtle vary between rounded, oval, elongated, and between hard- and soft-shelled. Most species have their sex determined by temperature. In some species, higher temperatures produce females and lower ones produce males, while in others, milder temperatures produce males and both hot and cold extremes produce females.
Crocodiles (family Crocodylidae) or true crocodiles are large semiaquatic reptiles that live throughout the tropics in Africa, Asia, the Americas and Australia. 
Crocodile embryos do not have sex chromosomes, and unlike humans, sex is not determined genetically. Sex is determined by temperature.
Lizards (suborder Lacertilia) are a widespread group of squamate reptiles, with over 6,000 species, ranging across all continents except Antarctica, as well as most oceanic island chains.
Sex determination in lizards can be temperature-dependent. The temperature of the eggs' micro-environment can determine the sex of the hatched young: low temperature incubation produces more females while higher temperatures produce more males.","if an animal has a cold temperature, then it might be a crocodile.",yes,50.33136606216431
9,"Grasshopper Anatomy Like all insects, the grasshoppers have three main body parts – the head, the thorax and the abdomen. They have six jointed legs, two pairs of wings and two antennae. 

Butterflies have three pairs of legs.
The body of the adult butterfly is comprised of 3 segments - head, thorax and abdomen.
The praying mantis is an insect from the Mantidae group. Has 3 pairs of legs, and carnivores are sometimes cannibals.
The three body parts of a Praying mantis are the head, Thorax, and Abdomen.","if a carnivorous species has legs and antennae, then it might be able to catch the prey.",yes,47.372451424598694
