data_id,fact,generated_rule,golden_rule,yesNoRatio
0,,"if an animal can be adapted to the harsh environment, then it can survive there.","If an animal lives in a cold area, then it probably has thick fat or think fur.",50.0
0,,there exist animals that have an abundance of adipose tissue and can move across snow.,"If an animal lives in a cold area, then it probably has thick fat or think fur.",34.8876953125
0,,"if an animal has very thick and dense fur, then it must live in cold place and needs to adapt the body structure to deal with the cold.","If an animal lives in a cold area, then it probably has thick fat or think fur.",40.72265625
0,,"if a species evolves to adapt to the environment or can move across snow and ice, then it is likely to survive in the cold environment.","If an animal lives in a cold area, then it probably has thick fat or think fur.",40.3564453125
0,,"if an animal lives in the arctic, then it probably has some special adaptations to the environment.","If an animal lives in a cold area, then it probably has thick fat or think fur.",48.046875
0,,"there exist a polar bear and brown bear, but not a brown polar bear.","If an animal lives in a cold area, then it probably has thick fat or think fur.",35.9375
0,,"if a creature can survive in the extreme cold environment, it can easily adapt the other environment with same conditions.","If an animal lives in a cold area, then it probably has thick fat or think fur.",48.828125
0,,"if an animal has white fur, then it might be used to move in cold area.","If an animal lives in a cold area, then it probably has thick fat or think fur.",44.5556640625
0,,"if an animal or plant lives in a cold environment, then it must have some special adaptation for living in such an environment.","If an animal lives in a cold area, then it probably has thick fat or think fur.",39.2333984375
0,,"there exist animals that are adapted to colder temperatures, can move across snow and ice, and can hunt seals.","If an animal lives in a cold area, then it probably has thick fat or think fur.",42.236328125
0,,"if a animal's living in the place, then it has some adaption to the living conditions of the place.","If an animal lives in a cold area, then it probably has thick fat or think fur.",54.638671875
0,,"if an animal is adapted to cold environments, it may not need food much.","If an animal lives in a cold area, then it probably has thick fat or think fur.",39.5751953125
0,,"if a species lives in an environment that requires adaptation, then it must be superbly insulated.","If an animal lives in a cold area, then it probably has thick fat or think fur.",35.5712890625
0,,"there exist a superbly insulated polar bear that has evolved to occupy a narrower ecological niche with many body characteristics adapted for cold temperatures, for moving across snow, ice and open water, and for hunting seals, which make up most of its diet.","If an animal lives in a cold area, then it probably has thick fat or think fur.",44.1650390625
0,,"if a living thing possesses all the above mentioned adaptations, then it is polar bear.","If an animal lives in a cold area, then it probably has thick fat or think fur.",43.017578125
0,,"if a body part is well insulated or has a thick fur, then it might adapt well to cold environment.","If an animal lives in a cold area, then it probably has thick fat or think fur.",41.1376953125
0,,"if a dog has a thick fur and has a wide and short head, small ears, short powerful legs and feet, bushy and densely furred tail, and a thick body covered in coarse hair, then it probably came from a cold region.","If an animal lives in a cold area, then it probably has thick fat or think fur.",39.990234375
0,,"if a bear is an endangered animal, then it probably needs to be on top of the food chain in order to survive.","If an animal lives in a cold area, then it probably has thick fat or think fur.",42.9931640625
0,,"if a animal has heavy fur or is able to move in the snow, it might have a good chance to survive the cold.","If an animal lives in a cold area, then it probably has thick fat or think fur.",47.265625
1,,"if a predator is stinky, then it can scare away its prey.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",45.3125
1,,there exist species that can emit a foul smelling substance from its anal glands.,"If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",35.2294921875
1,,"if a wild animal is very smelly, then the animal is probably not eaten by other wild animals.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",42.626953125
1,,"if a mammal has a powerful anal gland, then it probably has a foul smelling substance to defend itself.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",35.5712890625
1,,"if a predator has bad smell, then the predator cannot be easily preyed upon by other animals.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",43.3837890625
1,,there exist two different species of mustelids with the ability to emit a foul smelling substance from their anal glands for protection.,"If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",33.7890625
1,,"if an animal is large and stinky, then the animal is dangerous and cannot be eaten by predator.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",36.6455078125
1,,"if an animal is smelly, then it will have more chance to escape from its predator.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",47.2412109375
1,,"if a creature has a smelly bottom, then it probably can't be eaten.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",36.669921875
1,,there exist some animal which are stinky and have some animal as potential predator.,"If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",31.0791015625
1,,"if an animal smells stinky, it is probably trying to avoid being eaten by predators.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",48.4130859375
1,,"if a wild animal has a stinky smell, then other animals would have a chance to run away from it.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",49.1943359375
1,,"if a mammal has a bad smell, then it is not likely to be eaten.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",37.7685546875
1,,there exist a mustelid animal that is the largest land-dwelling species of the family mustelidae.,"If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",38.0859375
1,,"if an animal has the potential predators, then the animal has the bad smell to protect itself.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",37.7685546875
1,,"if a mammal has strong smell, then it can be very useful to detect enemies.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",47.265625
1,,"if an animal has a smell, then it probably won't be eaten by predators.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",39.9658203125
1,,there exist land animal which has an animal that has a strong smell.,"If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",26.904296875
1,,"if a wild animal has potent smell, it probably is a prey for predators.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",45.3125
1,,"if an animal is stinky, then it will be harder to be hunted by other animals.","If an animal emits foul smell, then it probaly is protecting itself or marking its territory.",46.875
2,,"if a bear hibernates in winter, then it wakes up in spring.","If it's a cold place and winter comes, then animals in this place might hibernate.",46.5087890625
2,,"if a animal is hibernating in winter, then it is dormant.","If it's a cold place and winter comes, then animals in this place might hibernate.",49.1943359375
2,,"if a animal hibernates in winter, then it is dormant.","If it's a cold place and winter comes, then animals in this place might hibernate.",47.265625
2,,"if a animal is hibernating in winter, then it wakes up in spring.","If it's a cold place and winter comes, then animals in this place might hibernate.",46.875
2,,there exist plant that live in a temperate region.,"If it's a cold place and winter comes, then animals in this place might hibernate.",36.669921875
2,,"if the plant is in northern latitudes, then it hibernates.","If it's a cold place and winter comes, then animals in this place might hibernate.",36.6455078125
2,,"if an animal is a hibernator, then it is a mammal.","If it's a cold place and winter comes, then animals in this place might hibernate.",44.53125
2,,"if a mammal or a reptile does not hibernate and has no fur, then it must be a groundhog.","If it's a cold place and winter comes, then animals in this place might hibernate.",32.1044921875
2,,"if a bear or reptile hibernates, then it is cold.","If it's a cold place and winter comes, then animals in this place might hibernate.",32.421875
2,,there exist a northern polar animal that can hibernate in winter.,"If it's a cold place and winter comes, then animals in this place might hibernate.",36.669921875
2,,"if a groundhog lives in the northern latitudes and hibernates in winter, then it is probably an american black bear.","If it's a cold place and winter comes, then animals in this place might hibernate.",31.396484375
2,,"if a bear hibernate for a long time or has a longer period to hibernate, then it can use less energy.","If it's a cold place and winter comes, then animals in this place might hibernate.",42.6025390625
2,,if you give a 6-year-old child a mars bar chocolate bar and a.,"If it's a cold place and winter comes, then animals in this place might hibernate.",37.40234375
2,,"if a bear is found in the northern regions and it hibernates, then the bear is a bear.","If it's a cold place and winter comes, then animals in this place might hibernate.",41.8701171875
2,,there exist two animals which is hibernation and groundhog.,"If it's a cold place and winter comes, then animals in this place might hibernate.",30.078125
2,,"if an animal is an arctic animal and has hibernation period during winter, then it is groundhog.","If it's a cold place and winter comes, then animals in this place might hibernate.",34.521484375
2,,"if a bear hibernate longer in the winter, then it probably has a higher survival rate in the winter.","If it's a cold place and winter comes, then animals in this place might hibernate.",43.798828125
2,,"if the temperature is less than 15 degrees celsius and the animal hibernates, then the animal is a groundhog.","If it's a cold place and winter comes, then animals in this place might hibernate.",33.8134765625
2,,"there exist a bear in north that hibernates for at least three months, which is less than the winter dormancy of the grizzly bear in a northern area.","If it's a cold place and winter comes, then animals in this place might hibernate.",38.1103515625
2,,"if an animal has long winter dormancy and hibernate longer in northern latitudes than southern latitudes, then it is most likely a bear.","If it's a cold place and winter comes, then animals in this place might hibernate.",32.763671875
2,,"if a place has more sunshine than average, then it is a warm climate area.","If it's a cold place and winter comes, then animals in this place might hibernate.",44.9462890625
2,,"if a species has a long period to sleep, then it might hibernate in winter.","If it's a cold place and winter comes, then animals in this place might hibernate.",45.703125
2,,"if an animal hibernates in the winter, then the animal will have a dark fur coat.","If it's a cold place and winter comes, then animals in this place might hibernate.",41.8701171875
2,,there exist plant and animals that hibernate in winter.,"If it's a cold place and winter comes, then animals in this place might hibernate.",38.8427734375
2,,"if an animal hibernates from october to march or april and in the more temperate areas, they may hibernate as little as three months, then it probably has thick fur and hibernates in the winter.","If it's a cold place and winter comes, then animals in this place might hibernate.",28.125
2,,"if a bear live in colder region, and its body has less mass, then it might have longer hibernation.","If it's a cold place and winter comes, then animals in this place might hibernate.",44.1650390625
2,,"if a body has less mass, it will have slower heat transfer.","If it's a cold place and winter comes, then animals in this place might hibernate.",50.78125
3,,"if a cat shows affection, then it has dopamine, serotonin, and oxytocin levels in its brain.","If an animal is domesticated and is kept closely with its human owner, then it probably can provide emotional support to its owner.",37.3779296875
3,,"there exist a pet dog, which increases our dopamine, serotonin, and oxytocin levels.","If an animal is domesticated and is kept closely with its human owner, then it probably can provide emotional support to its owner.",35.5712890625
3,,"if a person owns a pet dog and he is happy, then the pet dog might increase the owner's level of happiness.","If an animal is domesticated and is kept closely with its human owner, then it probably can provide emotional support to its owner.",44.189453125
